institution_type,level,program,state,minority,women,faculties,number_of_institutes,intake,enrollment,passed,placed
Unaided - Private,DIPLOMA,PHARMACY,Tamil Nadu,0,0,7.0,2,180,180,148,102
Unaided - Private,DIPLOMA,PHARMACY,Uttar Pradesh,0,0,105.0,46,3240,1562,911,421
Unaided - Private,DIPLOMA,PHARMACY,Uttarakhand,0,0,63.0,18,1140,806,609,257
Unaided - Private,DIPLOMA,PHARMACY,Uttarakhand,1,0,4.0,1,60,80,45,18
Unaided - Private,DIPLOMA,PHARMACY,West Bengal,0,0,23.0,6,420,180,111,92
Government,DIPLOMA,PHARMACY,Andhra Pradesh ,0,0,47.0,8,400,268,150,26
Government,DIPLOMA,PHARMACY,Andhra Pradesh ,0,1,23.0,5,220,127,48,3
Government,DIPLOMA,PHARMACY,Bihar,0,0,2.0,1,60,53,19,10
Government,DIPLOMA,PHARMACY,Chandigarh,0,0,6.0,1,40,40,36,28
Government,DIPLOMA,PHARMACY,Chandigarh,0,1,6.0,1,40,40,36,28
Government,DIPLOMA,PHARMACY,Chhattisgarh,0,0,3.0,3,120,109,50,6
Government,DIPLOMA,PHARMACY,Delhi,0,0,16.0,3,240,262,108,86
Government,DIPLOMA,PHARMACY,Gujarat,0,0,7.0,1,60,44,9,5
Government,DIPLOMA,PHARMACY,Haryana,0,0,13.0,3,165,164,95,17
Government,DIPLOMA,PHARMACY,Haryana,0,1,8.0,1,45,45,27,5
Government,DIPLOMA,PHARMACY,Himachal Pradesh,0,0,7.0,2,80,79,60,15
Government,DIPLOMA,PHARMACY,Himachal Pradesh,0,1,4.0,1,40,40,36,12
Government,DIPLOMA,PHARMACY,Madhya Pradesh,0,0,11.0,2,120,120,69,0
Government,DIPLOMA,PHARMACY,Maharashtra,0,0,19.0,4,210,195,87,5
Government,DIPLOMA,PHARMACY,Orissa,0,0,12.0,2,120,60,52,24
Government,DIPLOMA,PHARMACY,Orissa,0,1,5.0,1,60,60,52,24
Government,DIPLOMA,PHARMACY,Punjab,0,0,23.0,5,180,142,75,14
Government,DIPLOMA,PHARMACY,Punjab,0,1,4.0,2,60,42,29,3
Government,DIPLOMA,PHARMACY,Uttar Pradesh,0,0,7.0,4,180,119,89,35
Government,DIPLOMA,PHARMACY,Uttar Pradesh,0,1,3.0,1,40,39,40,17
Government,DIPLOMA,PHARMACY,Uttarakhand,0,0,25.0,9,380,310,241,50
Government,DIPLOMA,PHARMACY,West Bengal,0,0,39.0,8,500,378,149,133
Government,DIPLOMA,PHARMACY,West Bengal,0,1,7.0,1,60,30,7,1
Govt aided,DIPLOMA,PHARMACY,Andhra Pradesh ,0,0,8.0,1,30,30,25,22
Govt aided,DIPLOMA,PHARMACY,Andhra Pradesh ,0,1,8.0,1,30,30,25,22
Govt aided,DIPLOMA,PHARMACY,Gujarat,0,0,30.0,6,430,301,71,18
Govt aided,DIPLOMA,PHARMACY,Haryana,0,0,4.0,1,40,40,22,14
Govt aided,DIPLOMA,PHARMACY,Haryana,0,1,4.0,1,40,40,22,14
Govt aided,DIPLOMA,PHARMACY,Maharashtra,0,1,8.0,1,40,40,36,25
Govt aided,DIPLOMA,PHARMACY,Maharashtra,0,0,135.0,21,1300,1230,708,228
Govt aided,DIPLOMA,PHARMACY,Maharashtra,1,0,20.0,3,240,248,159,38
Govt aided,DIPLOMA,PHARMACY,Punjab,1,0,7.0,1,60,60,41,14
Govt aided,DIPLOMA,PHARMACY,Punjab,0,0,7.0,1,60,60,41,14
Govt aided,DIPLOMA,PHARMACY,Uttar Pradesh,0,0,12.0,2,80,81,77,56
Govt aided,DIPLOMA,PHARMACY,Uttar Pradesh,0,1,5.0,1,40,43,40,40
University Managed,DIPLOMA,PHARMACY,Gujarat,0,0,6.0,1,40,37,28,13
University Managed,DIPLOMA,PHARMACY,Rajasthan,0,0,4.0,1,60,60,60,10
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,1,5475.0,37,15630,5581,4737,1781
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,1,0,5651.0,12,5430,1979,827,303
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,1,1,461.0,2,840,342,153,65
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Assam,0,0,431.0,7,2700,1738,821,360
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Bihar,0,0,924.0,16,6000,3262,1509,511
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Bihar,1,0,355.0,5,1680,1134,748,77
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,4444.0,45,26130,11876,8878,3688
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,1,0,111.0,1,600,326,332,266
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,1192.0,9,5460,4453,3471,2362
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Goa,0,0,121.0,4,840,833,678,345
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Goa,1,0,11.0,1,240,240,255,109
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,7159.0,101,56714,40431,22563,6856
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Gujarat,0,1,136.0,2,900,534,623,136
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Haryana,0,1,118.0,4,1230,118,75,6
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,13042.0,151,66370,27072,18815,9944
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Haryana,1,0,545.0,7,2910,1299,1094,1232
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Himachal Pradesh,0,0,1557.0,21,9840,2896,2312,961
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Himachal Pradesh,1,0,39.0,1,180,30,0,0
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,0,0,387.0,5,2220,1617,1139,418
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,1,0,77.0,1,360,360,341,88
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Jharkhand,0,0,610.0,11,4650,3160,1749,439
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,17312.0,169,90053,69427,46758,23070
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Karnataka,0,1,192.0,4,1440,806,561,321
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Karnataka,1,0,2239.0,22,12210,9665,7072,3304
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,7238.0,120,48162,29898,12918,6623
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Kerala,0,1,455.0,9,2700,1126,529,162
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Kerala,1,0,3014.0,46,19860,12755,5866,3027
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Kerala,1,1,133.0,3,810,226,235,55
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,18605.0,210,100809,61471,38572,17298
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,1,0,505.0,5,2160,1103,692,271
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,1,384.0,8,2880,1538,1681,548
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,1,0,5588.0,70,32760,23707,19851,8038
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,1,1,103.0,1,420,301,299,54
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Meghalaya,0,0,110.0,1,480,284,162,92
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Meghalaya,1,0,110.0,1,480,284,162,92
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,8999.0,90,41882,20590,21118,11238
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Orissa,0,1,195.0,3,1320,179,669,460
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Puducherry,0,0,972.0,15,8070,4065,2672,2346
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Puducherry,1,0,539.0,6,3810,2182,1689,1384
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Punjab,0,1,304.0,6,1890,490,748,293
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Punjab,0,0,9213.0,103,45100,19467,18528,8413
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Punjab,1,0,202.0,1,930,738,749,155
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,10834.0,127,61920,30579,19091,9895
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,1,332.0,6,2370,1045,1037,570
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,1,1330.0,21,7860,3747,3475,2264
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,1,1,181.0,4,1350,606,603,589
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,1,0,10755.0,115,69640,44456,34530,21673
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,1,472.0,9,3360,1043,897,536
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,1,0,955.0,10,4740,1585,1683,884
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,2377.0,30,13050,5144,4444,2266
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Uttarakhand,1,0,239.0,3,1260,240,280,251
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,5942.0,71,33750,21570,19442,11118
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,West Bengal,1,0,350.0,5,3060,1965,1423,831
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,West Bengal,0,1,96.0,1,360,234,258,104
Central University,UG,ENGINEERING AND TECHNOLOGY,Nagaland,0,0,27.0,1,240,86,40,17
Deemed University(Government),UG,ENGINEERING AND TECHNOLOGY,Arunachal Pradesh ,0,0,39.0,1,150,0,0,0
Deemed University(Private),UG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,110.0,2,2300,2366,467,1285
Deemed University(Private),UG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,144.0,1,540,459,400,315
Deemed University(Private),UG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,336.0,1,1200,1200,1296,1168
Deemed University(Private),UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,236.0,3,2070,1307,453,440
Government,UG,ENGINEERING AND TECHNOLOGY,Andaman and Nicobar Islands,0,0,17.0,1,90,98,80,94
Government,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,0,1035.0,10,3500,2568,1276,1325
Government,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,1,69.0,1,480,325,92,32
Government,UG,ENGINEERING AND TECHNOLOGY,Assam,0,0,463.0,7,1695,887,641,160
Government,UG,ENGINEERING AND TECHNOLOGY,Bihar,0,0,182.0,13,3890,1598,475,71
Government,UG,ENGINEERING AND TECHNOLOGY,Chandigarh,0,0,83.0,1,240,268,232,121
Government,UG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,143.0,4,1210,1081,530,24
Government,UG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,603.0,8,4227,3329,1095,1344
Government,UG,ENGINEERING AND TECHNOLOGY,Goa,0,0,108.0,1,420,404,457,212
Government,UG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,1363.0,17,9870,9433,8704,1235
Government,UG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,390.0,7,2190,1725,40,753
Government,UG,ENGINEERING AND TECHNOLOGY,Himachal Pradesh,0,0,53.0,3,780,352,247,77
Government,UG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,0,0,61.0,1,300,282,116,83
Government,UG,ENGINEERING AND TECHNOLOGY,Jharkhand,0,0,129.0,1,680,668,691,361
Government,UG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,757.0,12,3280,2640,860,526
Government,UG,ENGINEERING AND TECHNOLOGY,Kerala,0,1,97.0,1,360,371,331,193
Government,UG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,1794.0,35,11265,9044,5217,3237
Government,UG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,219.0,6,2011,1955,1023,771
Government,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,734.0,14,4550,3675,3044,1769
Government,UG,ENGINEERING AND TECHNOLOGY,Manipur,0,0,35.0,1,115,115,0,0
Government,UG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,366.0,6,1506,1369,618,541
Government,UG,ENGINEERING AND TECHNOLOGY,Puducherry,0,0,151.0,2,720,623,570,390
Government,UG,ENGINEERING AND TECHNOLOGY,Punjab,0,0,391.0,6,3402,2169,1466,417
Government,UG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,736.0,11,4715,3952,2273,1136
Government,UG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,1,90.0,1,600,517,394,194
Government,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,545.0,17,4200,3545,2565,1205
Government,UG,ENGINEERING AND TECHNOLOGY,Tripura,0,0,126.0,1,300,222,223,11
Government,UG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,429.0,7,2080,1724,1267,495
Government,UG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,177.0,3,1140,817,512,205
Government,UG,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,325.0,15,4243,1950,1620,745
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,42.0,1,360,155,130,0
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,12.0,3,280,169,140,81
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Delhi,1,0,8.0,1,120,0,0,0
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,261.0,3,1395,1351,1309,639
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,0,0,80.0,2,585,464,300,123
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Jharkhand,0,0,107.0,5,1800,1409,492,469
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,2010.0,9,7700,7275,6770,4024
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,481.0,10,3971,3613,2031,734
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Kerala,1,0,285.0,2,1200,1247,952,458
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,296.0,3,2490,2099,1533,1328
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,464.0,6,2449,2479,1684,1355
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,117.0,2,700,647,424,308
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Punjab,0,0,148.0,1,825,831,846,376
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Punjab,1,0,148.0,1,825,831,846,376
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,761.0,3,2860,2781,2901,1970
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,578.0,11,3248,2304,1529,712
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,175.0,3,1095,1004,736,189
Govt aided,UG,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,76.0,5,2417,840,1029,507
Private-Aided,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,59.0,1,420,344,286,58
Private-Aided,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,1,0,59.0,1,420,344,286,58
University Managed,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,0,665.0,3,1080,1054,0,0
University Managed,UG,ENGINEERING AND TECHNOLOGY,Assam,0,0,143.0,5,1380,792,527,370
University Managed,UG,ENGINEERING AND TECHNOLOGY,Bihar,0,0,17.0,1,120,120,120,0
University Managed,UG,ENGINEERING AND TECHNOLOGY,Bihar,0,1,17.0,1,120,120,120,0
University Managed,UG,ENGINEERING AND TECHNOLOGY,Chandigarh,0,0,68.0,2,675,664,522,296
University Managed,UG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,143.0,2,940,519,361,67
University Managed,UG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,168.0,2,960,878,684,95
University Managed,UG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,123.0,3,780,822,409,134
University Managed,UG,ENGINEERING AND TECHNOLOGY,Haryana,0,1,61.0,1,240,152,174,54
University Managed,UG,ENGINEERING AND TECHNOLOGY,Himachal Pradesh,0,0,6.0,1,60,68,0,51
University Managed,UG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,0,0,75.0,1,300,284,0,98
University Managed,UG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,462.0,3,2460,2541,1656,1080
University Managed,UG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,404.0,9,2458,2025,1264,555
University Managed,UG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,444.0,9,3550,2264,1260,579
University Managed,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,1,31.0,1,240,253,221,100
University Managed,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,310.0,8,1746,1402,1125,549
University Managed,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,1,0,54.0,1,420,259,184,109
University Managed,UG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,277.0,2,1200,729,521,126
University Managed,UG,ENGINEERING AND TECHNOLOGY,Punjab,0,0,138.0,1,420,0,0,0
University Managed,UG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,319.0,4,1465,635,1002,453
University Managed,UG,ENGINEERING AND TECHNOLOGY,Sikkim,0,0,176.0,1,840,595,547,345
University Managed,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,597.0,4,3035,2145,1207,823
University Managed,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,1,85.0,1,485,358,0,204
University Managed,UG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,236.0,4,1380,1272,1174,401
University Managed,UG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,35.0,1,300,262,22,22
University Managed,UG,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,115.0,2,440,383,43,23
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,0,9347.0,280,26758,17173,8547,1916
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,1,721.0,23,1290,658,299,57
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,1,0,959.0,11,861,692,137,172
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,1,1,90.0,2,54,33,0,9
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Assam,0,0,10.0,3,150,33,14,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Bihar,0,0,37.0,1,36,34,18,4
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,498.0,27,2013,720,416,104
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,1,0,15.0,1,36,18,0,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,35.0,1,72,0,0,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Goa,0,0,12.0,1,18,18,17,1
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,741.0,56,5352,3052,1680,312
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,1856.0,114,8982,3796,2782,1341
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Haryana,1,0,49.0,5,720,260,278,222
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Haryana,0,1,2.0,1,42,0,0,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Himachal Pradesh,0,0,270.0,13,876,148,24,18
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,0,0,44.0,2,54,0,0,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Jharkhand,0,0,126.0,2,54,35,10,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Karnataka,0,1,7.0,2,72,70,0,2
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,2109.0,117,10815,7093,4844,1126
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Karnataka,1,0,345.0,16,1518,1003,872,102
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,1399.0,75,6368,3066,2061,503
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Kerala,0,1,66.0,4,282,153,107,37
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Kerala,1,0,672.0,36,2934,1660,901,231
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,1658.0,139,10030,6683,2174,909
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,1,0,20.0,3,150,126,21,15
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,2941.0,227,18085,13375,6369,1605
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,1,125.0,5,378,299,213,54
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Maharashtra,1,1,12.0,1,210,138,124,35
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Maharashtra,1,0,573.0,47,3880,2746,1502,287
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,1019.0,38,2548,829,600,287
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Orissa,0,1,66.0,1,90,11,0,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Puducherry,0,0,130.0,10,600,287,181,28
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Puducherry,1,0,111.0,5,330,179,147,28
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Punjab,0,0,1873.0,57,3600,2013,1337,446
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Punjab,0,1,42.0,2,36,30,18,4
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Punjab,1,0,21.0,1,126,89,24,8
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,1082.0,53,3168,1309,373,216
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,1,137.0,3,234,118,68,9
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,8450.0,389,33552,20420,13678,4405
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,1,302.0,17,897,401,399,163
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,1,1,56.0,4,198,89,99,58
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,1,0,1894.0,91,8176,5284,3806,1027
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,2414.0,109,5944,1783,787,478
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,1,0,49.0,5,310,85,0,5
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,1,33.0,1,60,18,8,5
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,345.0,13,660,214,58,24
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Uttarakhand,1,0,63.0,1,18,8,10,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,820.0,36,2118,706,563,170
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,West Bengal,1,0,223.0,4,414,141,108,9
Deemed University(Government),PG,ENGINEERING AND TECHNOLOGY,Arunachal Pradesh ,0,0,35.0,1,36,0,0,0
Deemed University(Government),PG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,20.0,1,90,91,85,80
Deemed University(Private),PG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,26.0,2,574,448,89,70
Deemed University(Private),PG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,37.0,1,168,124,117,49
Deemed University(Private),PG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,56.0,1,183,153,165,120
Deemed University(Private),PG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,59.0,2,560,311,259,143
Government,PG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,0,704.0,11,2065,1725,435,275
Government,PG,ENGINEERING AND TECHNOLOGY,Assam,0,0,90.0,3,282,156,135,38
Government,PG,ENGINEERING AND TECHNOLOGY,Bihar,0,0,23.0,2,150,63,0,0
Government,PG,ENGINEERING AND TECHNOLOGY,Chandigarh,0,0,160.0,3,468,292,224,224
Government,PG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,34.0,4,120,55,17,0
Government,PG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,213.0,6,1548,684,132,87
Government,PG,ENGINEERING AND TECHNOLOGY,Goa,0,0,34.0,1,156,105,77,23
Government,PG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,313.0,12,803,742,559,75
Government,PG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,290.0,8,912,697,104,158
Government,PG,ENGINEERING AND TECHNOLOGY,Jharkhand,0,0,3.0,1,220,112,0,0
Government,PG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,236.0,7,564,472,113,106
Government,PG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,474.0,30,2364,1904,1086,1891
Government,PG,ENGINEERING AND TECHNOLOGY,Kerala,0,1,31.0,1,48,48,48,19
Government,PG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,169.0,8,622,623,290,252
Government,PG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,235.0,11,1955,1214,405,322
Government,PG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,73.0,4,229,162,65,20
Government,PG,ENGINEERING AND TECHNOLOGY,Puducherry,0,0,60.0,1,241,199,181,110
Government,PG,ENGINEERING AND TECHNOLOGY,Punjab,0,0,192.0,7,593,417,213,221
Government,PG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,170.0,6,592,360,331,33
Government,PG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,1,4.0,1,72,47,41,18
Government,PG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,193.0,12,720,584,536,178
Government,PG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,69.0,18,1932,921,594,215
Government,PG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,1,8.0,6,540,103,85,22
Government,PG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,112.0,5,492,249,266,51
Government,PG,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,431.0,13,2284,794,328,166
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,6.0,1,18,18,0,0
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,25.0,2,98,98,50,50
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,163.0,3,734,377,338,25
